All installed programs list generated by choco-package-list-backup on 2022-06-08.


DisplayName                                                        DisplayVersi
                                                                   on          
-----------                                                        ------------
GRAPHISOFT BIMx Desktop Viewer                                     20.0        
Visual Studio Build Tools?2019                                     16.11.8     
Adobe AIR                                                          32.0.0.125  
AnyDesk                                                            ad 7.0.6    
AstroGrep                                                          4.4.7       
AVS Audio Converter 8.0                                            8.0.2.541   
AVS Audio Editor 8.0                                               8.0.2.501   
AVS Disc Creator 5.2                                               5.2.4.534   
AVS Document Converter 3.0.1                                       3.0.1.237   
AVS Image Converter 4.0.1.280                                      4.0.1.280   
AVS Media Player 4.2.5.108                                         4.2.5.108   
AVS Photo Editor 2.3.3.147                                         2.3.3.147   
AVS Registry Cleaner 3.0.2.271                                     3.0.2.271   
AVS Video Editor 7.1                                               7.1.4.264   
AVS Video ReMaker 5.0.1.172                                        5.0.1.172   
AVS Video Converter 9.1                                            9.1.4.574   
BleachBit 4.4.2.2142                                               4.4.2.2142  
 ChocoMaint (?????? ????????)                                                  
Chromium                                                           87.0.4280.66
                                                                               
FileZilla Client 3.57.0                                            3.57.0      
FreeFileSync 10.2                                                  10.2        
FRENCO Spline Calculator                                           1.8.0       
FRENCO Spline Standards                                            1.11.3      
GanttProject                                                                   
GitAhead                                                           2.6.3       
gLabels                                                            3.99.0      
GPL Ghostscript                                                    9.14        
Shock Sensor Utility                                               5.01.01.001 
O2Micro OZ776 SCR Driver                                           2.1.4.216GS 
Shock Sensor Driver                                                1.01.00.002 
Fujitsu Hotkey Utility                                             3.70.0.0    
Fujitsu System Extension Utility                                   3.4.4.0     
Fujitsu MobilityCenter Extension Utility                           4.01.00.000 
KeePass Password Safe 2.49                                         2.49        
KiCad 5.1.12_1                                                     5.1.12_1    
LibreCAD                                                           2.1.3       
Okular                                                             master-39...
OnePlus USB Drivers 1.00                                           1.00        
Pidgin                                                             2.14.8      
Protaces Designer 4                                                            
qBittorrent 4.3.9                                                  4.3.9       
QElectroTech (remove only)                                                     
Skype version 8.79                                                 8.79        
Sierra Wireless QMI Fujitsu Driver Package                         2.8.1210.1  
TeamViewer                                                         15.25.8     
Synkron 1.6.2                                                      1.6.2       
Tweaking.com - Windows Repair                                      4.12.1      
Ultra Defragmenter                                                 7.1.4       
VirtualGeo? pour le G?oportail                                     3.1.0.2040  
                                                                               
Xming 6.9.0.31                                                     6.9.0.31    
Microsoft Visual Studio Setup WMI Provider                         2.11.47.9733
Universal CRT Redistributable                                      10.0.26624  
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501       12.0.30501.0
vs_FileTracker_Singleton                                           16.10.31303 
Windows SDK Desktop Tools arm64                                    10.1.1904...
Windows IoT Extension SDK                                          10.1.1904...
WinRT Intellisense UAP - en-us                                     10.1.1904...
vs_minshellmsires                                                  16.10.31303 
Windows SDK for Windows Store Apps DirectX x86 Remote              10.1.1904...
Sierra Wireless AirCard Watcher                                    6.0.3560....
vs_filehandler_amd64                                               16.11.31503 
Adobe AIR                                                          32.0.0.125  
vs_communitymsires                                                 16.10.31213 
WinRT Intellisense PPI - en-us                                     10.1.1904...
Windows SDK Desktop Libs x64                                       10.1.1904...
Microsoft Visual Studio Setup Configuration                        2.11.47.9733
Altova StyleVision 2021 rel. 3 Basic Edition                       2021.03.00  
clawPDF 0.8.4                                                      0.8.4       
Windows SDK Desktop Tools x86                                      10.1.1904...
                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Windows SDK for Windows Store Apps Libs                            10.1.1904...
WinRT Intellisense IoT - Other Languages                           10.1.1904...
Intel(R) USB 3.0 eXtensible Host Controller Driver                 1.0.4.225   
                                                                               
Java 8 Update 311                                                  8.0.3110.11 
                                                                               
Java 8 Update 40                                                   8.0.400     
Microsoft Visual C++ 2019 X86 Debug Runtime - 14.29.30135          14.29.30135 
Windows App Certification Kit SupportedApiList x86                 10.1.1904...
Samsung Magician                                                   5.1.0.1120  
Driver Manager                                                     1.11.0075   
Sentinel Runtime                                                   6.60.1.36770
